id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,label
1536,1,Graduate,Yes,6400000,13900000,12,313,18600000,6300000,18600000,4900000,0
1537,4,Graduate,No,3200000,11600000,6,635,3300000,4600000,6500000,3900000,1
1538,4,Graduate,No,400000,800000,16,685,500000,300000,1300000,600000,1
1539,4,Graduate,Yes,6000000,12900000,14,723,700000,1600000,13600000,4100000,1
1540,0,Not Graduate,No,5200000,15600000,20,434,14100000,5800000,18100000,5500000,0
1541,4,Not Graduate,No,3900000,9000000,2,674,8700000,5700000,14000000,3100000,1
1542,0,Graduate,Yes,6100000,23300000,12,478,3800000,2300000,17700000,4900000,0
1543,2,Not Graduate,Yes,6600000,17000000,2,457,100000,1800000,23300000,6700000,0
1544,4,Not Graduate,No,7600000,18600000,18,779,9100000,5600000,15200000,10000000,1
1545,5,Not Graduate,No,1400000,5300000,12,778,1600000,700000,4400000,700000,1
1546,4,Graduate,No,400000,1500000,4,846,300000,0,1600000,600000,1
1547,4,Graduate,Yes,2500000,8400000,12,761,6300000,1300000,8400000,1600000,1
1548,5,Not Graduate,Yes,1700000,5200000,16,820,1700000,1200000,4000000,1000000,1
1549,5,Graduate,Yes,3400000,12300000,10,615,7000000,1600000,11400000,3500000,1
1550,3,Not Graduate,No,3300000,9300000,12,324,5300000,2600000,7500000,2000000,0
1551,4,Graduate,Yes,5400000,12700000,4,622,11000000,3300000,15100000,6500000,1
1552,3,Graduate,No,6600000,22100000,4,455,3800000,3000000,25100000,7400000,1
1553,1,Not Graduate,Yes,3200000,8100000,10,670,9100000,3800000,9200000,1900000,1
1554,4,Not Graduate,Yes,2300000,7700000,16,589,6000000,4400000,6300000,2300000,1
1555,5,Graduate,No,6100000,23500000,16,300,300000,700000,22800000,4800000,0
1556,2,Not Graduate,Yes,9500000,36800000,6,493,24100000,13800000,32100000,6200000,0
1557,0,Graduate,No,4000000,11500000,8,434,4500000,2800000,8400000,5900000,0
1558,5,Not Graduate,No,4400000,14900000,4,865,8200000,6200000,14900000,3500000,1
1559,0,Graduate,No,1400000,5000000,8,686,1800000,1900000,3200000,1500000,1
1560,3,Not Graduate,Yes,4900000,12700000,8,409,2000000,2500000,19300000,4700000,0
1561,5,Not Graduate,Yes,7300000,22500000,2,846,9800000,4700000,20300000,5700000,1
1562,4,Graduate,No,9600000,25500000,20,544,4000000,11400000,23800000,11100000,0
1563,2,Not Graduate,Yes,5800000,22800000,14,696,12100000,200000,20800000,4800000,1
1564,3,Not Graduate,No,1200000,4500000,6,819,1400000,1100000,4400000,900000,1
1565,5,Graduate,No,1000000,3000000,4,896,2800000,1100000,2000000,1100000,1
1566,5,Not Graduate,Yes,5900000,16000000,6,798,15900000,5000000,12300000,3100000,1
1567,2,Graduate,Yes,2300000,5500000,16,629,4600000,2900000,7000000,1900000,1
1568,1,Graduate,No,9100000,34000000,12,672,8600000,1600000,32700000,8800000,1
1569,4,Graduate,No,300000,1100000,4,359,100000,0,1000000,200000,1
1570,4,Graduate,Yes,600000,1400000,4,761,800000,500000,2100000,300000,1
1571,2,Graduate,Yes,7600000,22300000,12,555,2100000,13800000,17700000,7100000,1
1572,2,Not Graduate,Yes,2100000,4500000,2,787,4800000,2800000,6000000,2100000,1
1573,3,Not Graduate,Yes,7000000,15200000,2,709,10300000,12500000,20700000,4000000,1
1574,3,Graduate,No,6300000,17000000,16,388,11700000,2100000,16100000,3200000,0
1575,5,Not Graduate,Yes,1900000,4900000,4,442,3200000,2100000,5800000,900000,0
1576,3,Graduate,Yes,8900000,19300000,12,767,12000000,2200000,24700000,7700000,1
1577,3,Graduate,Yes,9800000,28400000,12,487,8900000,15400000,30800000,11100000,0
1578,3,Graduate,No,200000,800000,18,752,200000,200000,300000,200000,1
1579,1,Graduate,No,2200000,4900000,8,509,3800000,0,5400000,2900000,0
1580,4,Graduate,Yes,9500000,22600000,14,433,10000000,900000,23100000,13400000,0
1581,5,Not Graduate,Yes,3000000,6600000,16,462,5500000,3500000,9100000,3600000,0
1582,5,Graduate,No,7000000,18400000,12,520,4700000,11900000,17000000,3800000,0
1583,4,Graduate,Yes,8300000,25400000,4,624,22900000,4000000,24800000,5400000,1
1584,1,Not Graduate,Yes,5700000,20100000,14,442,11700000,7300000,17900000,6500000,0
1585,2,Graduate,No,5000000,10600000,4,570,11900000,900000,14800000,7100000,1
1586,5,Graduate,No,900000,2300000,16,545,100000,200000,2700000,800000,0
1587,0,Graduate,No,4400000,10800000,14,463,2400000,4800000,13800000,4700000,0
1588,5,Graduate,No,6300000,14600000,8,469,13300000,10100000,24500000,3800000,0
1589,3,Not Graduate,No,6600000,18800000,12,834,18800000,9300000,13700000,4800000,1
1590,4,Graduate,No,600000,1400000,4,507,200000,300000,1700000,400000,0
1591,4,Not Graduate,Yes,6300000,15200000,16,415,15500000,1800000,20700000,7900000,0
1592,1,Graduate,Yes,600000,1800000,8,799,1000000,700000,2200000,800000,1
1593,1,Graduate,No,7200000,21000000,14,421,3500000,11600000,21800000,4600000,0
1594,3,Not Graduate,No,5500000,20500000,12,634,800000,8600000,18500000,8200000,1
1595,5,Graduate,No,8000000,26700000,20,794,8000000,14700000,29900000,7800000,1
1596,5,Graduate,Yes,6500000,18100000,10,360,15700000,10600000,20200000,6100000,0
1597,0,Not Graduate,Yes,7300000,22600000,12,851,3300000,3400000,24800000,5300000,1
1598,0,Not Graduate,Yes,5000000,17000000,6,624,6700000,6200000,15400000,5900000,1
1599,0,Graduate,Yes,5300000,17600000,4,790,2000000,10200000,19700000,7700000,1
1600,2,Not Graduate,No,7000000,22400000,6,649,12200000,9900000,17800000,8900000,1
1601,1,Graduate,Yes,9600000,34500000,2,795,9500000,900000,32000000,9300000,1
1602,5,Graduate,Yes,8900000,19100000,20,329,13300000,11400000,29500000,10000000,0
1603,1,Graduate,No,3000000,9400000,4,622,600000,3500000,9600000,2000000,1
1604,0,Not Graduate,Yes,2600000,5400000,2,377,100000,4900000,6100000,2700000,0
1605,1,Graduate,No,5700000,12400000,14,396,5400000,7500000,17600000,5600000,0
1606,5,Graduate,No,9300000,34000000,6,742,4200000,600000,32800000,8200000,1
1607,1,Not Graduate,No,1600000,5600000,6,846,600000,2800000,4600000,1200000,1
1608,1,Not Graduate,No,2900000,7400000,10,874,400000,1200000,10100000,3300000,1
1609,0,Graduate,Yes,2900000,9900000,8,312,1800000,4500000,11200000,3700000,0
1610,1,Graduate,Yes,1600000,4100000,6,391,4300000,1400000,5700000,700000,0
1611,4,Not Graduate,No,1700000,4000000,6,829,0,1600000,5200000,1700000,1
1612,0,Not Graduate,No,2500000,7100000,10,590,4000000,800000,6100000,2600000,1
1613,4,Not Graduate,Yes,7300000,22900000,12,848,6300000,2900000,28500000,4100000,1
1614,4,Graduate,Yes,5800000,15800000,14,528,6300000,100000,21400000,8700000,0
1615,1,Graduate,Yes,9800000,23300000,12,430,3200000,12600000,30500000,13900000,0
1616,1,Not Graduate,Yes,9100000,31400000,4,304,14100000,16700000,30200000,9600000,1
1617,1,Graduate,Yes,300000,1000000,14,324,100000,100000,1100000,100000,0
1618,1,Not Graduate,Yes,5200000,20500000,10,407,1100000,3400000,18200000,3800000,0
1619,2,Graduate,Yes,4600000,12600000,2,355,6300000,6900000,14800000,6500000,0
1620,5,Not Graduate,No,900000,2800000,16,808,2100000,900000,3100000,800000,1
1621,4,Graduate,No,2600000,8500000,4,775,600000,3800000,10400000,2600000,1
1622,5,Not Graduate,No,5200000,13900000,4,422,7800000,4500000,12000000,7000000,0
1623,0,Graduate,Yes,2400000,5900000,14,319,2000000,4200000,9500000,3300000,0
1624,4,Not Graduate,No,8600000,20900000,10,867,24300000,7200000,23700000,9900000,1
1625,0,Graduate,No,9200000,36500000,14,522,10500000,5300000,22400000,13200000,0
1626,0,Not Graduate,Yes,9100000,23300000,18,414,17700000,2500000,33800000,6400000,0
1627,2,Not Graduate,Yes,1900000,7000000,14,818,4800000,3500000,4500000,2100000,1
1628,2,Not Graduate,No,6500000,14100000,2,709,1000000,12700000,20900000,4000000,1
1629,2,Graduate,Yes,9400000,30000000,16,565,1200000,3900000,28200000,9000000,1
1630,3,Graduate,No,7200000,17700000,4,662,13100000,11500000,16300000,5300000,1
1631,5,Graduate,Yes,3800000,10100000,2,571,7400000,6600000,12600000,3300000,1
1632,0,Not Graduate,No,4700000,11500000,18,559,7500000,0,18700000,2600000,1
1633,1,Not Graduate,No,4200000,16200000,14,391,5800000,2100000,14100000,2600000,0
1634,0,Not Graduate,Yes,1600000,3400000,8,867,-100000,2700000,4300000,1300000,1
1635,5,Graduate,Yes,5300000,17800000,16,505,9200000,8500000,14600000,4100000,0
1636,4,Not Graduate,No,8900000,30100000,2,747,20600000,12900000,20700000,10300000,1
1637,1,Graduate,No,1800000,5400000,4,415,4400000,2000000,5600000,1800000,1
1638,2,Not Graduate,No,3100000,10500000,10,751,5500000,5900000,9000000,1600000,1
1639,5,Not Graduate,No,3200000,10100000,6,828,8500000,6000000,8700000,3000000,1
1640,0,Not Graduate,Yes,4900000,16500000,4,600,11100000,2200000,12000000,6500000,1
1641,5,Not Graduate,No,7800000,27000000,6,728,4400000,13100000,18500000,7400000,1
1642,3,Not Graduate,Yes,1500000,5100000,6,352,100000,200000,5600000,900000,0
1643,2,Graduate,No,4400000,12500000,18,492,7900000,1200000,10100000,2700000,0
1644,5,Graduate,Yes,9600000,20600000,6,456,17300000,11000000,21700000,11600000,0
1645,1,Graduate,No,9100000,31200000,4,508,12800000,11700000,31100000,7800000,1
1646,5,Graduate,Yes,500000,900000,18,618,1400000,600000,1200000,400000,1
1647,0,Graduate,No,1500000,5600000,18,604,2000000,2400000,4400000,1800000,1
1648,0,Not Graduate,No,3900000,11300000,12,305,5000000,5900000,8800000,2100000,0
1649,4,Not Graduate,No,3200000,10600000,16,693,7800000,4900000,10400000,1800000,1
1650,5,Not Graduate,Yes,8600000,26300000,10,843,23300000,9800000,18100000,11300000,1
1651,4,Not Graduate,No,9400000,20200000,10,803,24800000,1000000,34400000,4800000,1
1652,5,Not Graduate,No,8300000,20700000,2,537,8400000,14300000,19700000,7800000,0
1653,5,Graduate,Yes,2300000,9100000,16,644,4000000,2600000,6600000,3100000,1
1654,2,Graduate,Yes,4200000,15700000,2,332,7000000,700000,13300000,3000000,1
1655,1,Graduate,Yes,8000000,30600000,14,302,12700000,13100000,23900000,6800000,0
1656,5,Not Graduate,Yes,8400000,17600000,12,397,13400000,14500000,24500000,7900000,0
1657,4,Not Graduate,Yes,7100000,24500000,14,599,9100000,7000000,20400000,6800000,1
1658,3,Not Graduate,No,6000000,18700000,10,387,6600000,6200000,23300000,6700000,0
1659,3,Not Graduate,Yes,9600000,30500000,18,669,4700000,1900000,26500000,9300000,1
1660,0,Graduate,Yes,9800000,23900000,14,459,1000000,13400000,21100000,7200000,0
1661,4,Graduate,Yes,6600000,18800000,10,353,16500000,9500000,20000000,6200000,0
1662,4,Not Graduate,Yes,6900000,18300000,18,715,8200000,600000,15000000,7500000,1
1663,2,Not Graduate,Yes,8100000,24700000,6,595,5500000,14300000,27300000,6500000,1
1664,1,Not Graduate,No,3500000,12700000,4,350,5200000,6800000,12900000,1800000,1
1665,2,Graduate,No,2100000,6600000,20,580,3800000,4100000,6200000,2100000,1
1666,5,Not Graduate,No,1100000,4000000,2,362,1800000,1300000,3500000,1100000,1
1667,1,Not Graduate,No,4700000,14000000,6,468,11300000,1800000,10600000,4600000,0
1668,5,Graduate,Yes,2400000,8200000,10,709,2100000,3700000,8800000,2800000,1
1669,3,Not Graduate,Yes,5400000,14300000,4,595,4100000,2800000,19300000,4900000,1
1670,1,Graduate,Yes,1000000,3000000,10,813,2900000,500000,3300000,800000,1
1671,2,Not Graduate,Yes,1300000,3200000,4,810,3800000,2100000,4300000,800000,1
1672,4,Not Graduate,No,6600000,25400000,12,622,9200000,3500000,19900000,7500000,1
1673,5,Graduate,Yes,600000,1400000,10,877,1400000,400000,2000000,700000,1
1674,3,Graduate,No,9200000,34300000,18,523,25600000,4000000,29100000,8800000,0
1675,1,Graduate,No,9500000,23000000,10,627,28500000,11500000,21700000,9100000,1
1676,3,Not Graduate,Yes,700000,2000000,18,544,800000,1300000,1500000,400000,0
1677,4,Graduate,Yes,4700000,11000000,4,321,10100000,100000,9600000,6900000,0
1678,5,Graduate,No,1300000,2900000,4,372,1700000,100000,2800000,600000,0
1679,5,Graduate,Yes,4400000,10600000,20,806,9700000,3600000,10800000,2500000,1
1680,4,Graduate,Yes,300000,900000,4,797,300000,400000,600000,400000,1
1681,3,Not Graduate,No,5200000,17300000,10,401,2600000,1400000,12700000,6400000,0
1682,5,Not Graduate,No,5200000,12200000,20,513,13400000,2000000,16800000,5400000,0
1683,0,Graduate,Yes,7500000,16600000,14,440,17200000,14500000,24100000,10300000,0
1684,0,Graduate,Yes,4700000,17700000,16,887,1300000,4900000,13200000,6700000,1
1685,0,Graduate,Yes,2400000,6900000,4,581,5100000,4500000,6000000,3400000,1
1686,3,Graduate,Yes,3200000,9100000,18,376,4500000,800000,9000000,1700000,0
1687,2,Graduate,Yes,6600000,25600000,6,740,10900000,1900000,18900000,9200000,1
1688,5,Not Graduate,No,7700000,19000000,2,539,4000000,14500000,29300000,4100000,0
1689,3,Not Graduate,Yes,9400000,21400000,10,323,5100000,15500000,29600000,11300000,0
1690,0,Not Graduate,Yes,6800000,14400000,8,812,15200000,4500000,21100000,6400000,1
1691,4,Not Graduate,No,7200000,27400000,8,735,14100000,14200000,19400000,9500000,1
1692,3,Graduate,No,3800000,11800000,4,694,0,500000,8300000,5100000,1
1693,0,Not Graduate,No,9500000,24400000,14,769,14400000,2400000,30800000,14200000,1
1694,3,Not Graduate,No,5600000,18700000,2,769,8000000,8200000,17300000,4800000,1
1695,0,Not Graduate,Yes,9000000,18700000,18,865,26800000,0,20900000,11300000,1
1696,5,Not Graduate,Yes,400000,1400000,4,483,1100000,700000,800000,100000,1
1697,0,Graduate,Yes,5400000,12900000,16,355,11200000,3100000,18200000,7400000,0
1698,0,Graduate,Yes,4500000,9600000,14,471,3200000,7700000,11000000,3600000,0
1699,4,Not Graduate,No,5600000,14800000,20,656,9600000,9200000,11600000,6500000,1
1700,1,Not Graduate,Yes,9900000,25700000,2,340,15600000,18800000,29500000,11800000,0
1701,1,Graduate,No,1000000,2100000,6,715,2200000,1000000,2200000,1100000,1
1702,2,Graduate,No,1800000,5300000,2,679,1000000,1400000,5800000,900000,1
1703,2,Graduate,No,2800000,11000000,16,525,8200000,1800000,5800000,2400000,0
1704,3,Not Graduate,Yes,9200000,23200000,8,380,13100000,15500000,18900000,6100000,0
1705,2,Graduate,Yes,9200000,25300000,4,827,25900000,15900000,19300000,11000000,1
1706,0,Not Graduate,No,2400000,5000000,14,580,5900000,4400000,5500000,3200000,1
1707,2,Not Graduate,Yes,3000000,7100000,4,819,5400000,4800000,6000000,2100000,1
1708,5,Not Graduate,Yes,2900000,6300000,6,719,7900000,1600000,8000000,1600000,1
1709,5,Graduate,Yes,1000000,3500000,18,882,900000,500000,2900000,600000,1
1710,3,Graduate,No,8800000,20400000,8,483,3200000,11400000,28200000,11800000,0
1711,0,Not Graduate,Yes,2900000,7600000,8,320,8000000,5600000,9600000,3100000,0
1712,4,Graduate,No,5200000,20400000,20,761,4700000,1600000,14300000,6200000,1
1713,3,Not Graduate,No,2900000,6500000,18,827,8300000,600000,10400000,3200000,1
1714,3,Graduate,Yes,2900000,5800000,12,353,8400000,2600000,10100000,3100000,0
1715,0,Graduate,Yes,5300000,13700000,6,329,8800000,7600000,11200000,2800000,0
1716,4,Graduate,Yes,500000,1200000,4,627,0,500000,1800000,700000,1
1717,0,Not Graduate,No,8700000,33600000,14,751,7100000,13700000,22800000,7000000,1
1718,2,Not Graduate,Yes,6000000,13000000,12,462,2100000,2500000,14600000,5600000,0
1719,3,Not Graduate,Yes,5800000,16600000,10,444,13300000,5900000,15000000,8500000,0
1720,4,Not Graduate,Yes,400000,1400000,10,665,300000,300000,1500000,200000,1
1721,5,Not Graduate,No,1300000,4800000,4,346,3200000,1600000,3400000,1600000,1
1722,0,Not Graduate,No,3400000,10800000,6,439,5300000,1400000,11600000,1900000,0
1723,0,Graduate,Yes,7400000,16300000,16,630,11200000,13200000,28400000,5300000,1
1724,1,Not Graduate,No,4800000,14300000,4,489,12400000,7900000,17700000,3600000,0
1725,5,Not Graduate,No,500000,1500000,6,433,-100000,700000,1900000,700000,0
1726,2,Graduate,No,9100000,21700000,12,549,25500000,11000000,34700000,12200000,0
1727,2,Graduate,Yes,200000,500000,6,885,-100000,0,300000,200000,0
1728,0,Not Graduate,Yes,2400000,9100000,8,368,2200000,200000,5600000,3300000,0
1729,5,Graduate,Yes,7300000,21000000,14,759,15500000,8000000,20300000,10800000,1
1730,3,Not Graduate,No,2900000,6300000,8,648,3400000,3400000,7600000,1400000,1
1731,0,Graduate,No,4100000,10700000,8,855,11500000,700000,11200000,3100000,1
1732,0,Graduate,Yes,6900000,18600000,10,330,19600000,9400000,16400000,4500000,0
1733,0,Graduate,No,8300000,21400000,2,662,6100000,12300000,24500000,10200000,1
1734,4,Not Graduate,Yes,600000,2100000,6,558,1300000,1000000,2200000,300000,1
1735,4,Not Graduate,No,2800000,8300000,14,352,4900000,2600000,7100000,3700000,0
1736,0,Graduate,No,7000000,27800000,16,640,11500000,3700000,16000000,8200000,1
1737,2,Not Graduate,No,4100000,16200000,6,546,3500000,3100000,15100000,3700000,0
1738,5,Not Graduate,Yes,8400000,22000000,2,830,3800000,3900000,19900000,5400000,1
1739,3,Graduate,No,5500000,19800000,14,853,7300000,3000000,15500000,3100000,1
1740,1,Graduate,No,2500000,6900000,20,495,4800000,3300000,5700000,3700000,0
1741,5,Graduate,No,6400000,21500000,16,728,300000,5200000,17400000,9600000,1
1742,4,Graduate,No,7100000,28300000,6,850,5600000,7100000,26000000,9700000,1
1743,5,Not Graduate,Yes,3400000,9400000,16,535,3100000,5600000,12900000,3200000,0
1744,0,Not Graduate,No,3300000,9000000,16,797,3000000,6400000,10300000,3300000,1
1745,2,Graduate,Yes,8800000,34400000,2,712,10500000,12500000,29300000,5900000,1
1746,0,Graduate,No,8800000,32900000,18,576,1300000,8700000,32600000,5600000,1
1747,1,Not Graduate,No,7800000,21300000,10,326,22800000,10700000,18500000,4500000,0
1748,2,Not Graduate,No,8100000,18500000,6,372,19100000,10200000,31000000,7900000,0
1749,5,Not Graduate,Yes,9700000,29100000,18,732,4700000,7400000,35600000,12400000,1
1750,1,Graduate,No,6400000,16900000,2,703,6300000,7300000,15900000,7400000,1
1751,4,Not Graduate,Yes,400000,800000,10,859,900000,500000,800000,200000,1
1752,1,Graduate,Yes,9900000,34100000,14,371,24400000,7100000,29300000,6200000,0
1753,4,Not Graduate,No,6000000,15800000,18,593,6800000,4800000,13200000,6400000,1
1754,2,Not Graduate,No,3700000,9200000,10,819,8500000,2000000,10200000,3100000,1
1755,1,Not Graduate,Yes,3900000,11500000,2,464,9300000,5700000,12400000,5100000,0
1756,0,Not Graduate,Yes,8600000,20000000,10,704,25400000,10000000,30800000,10300000,1
1757,3,Not Graduate,No,7800000,17700000,6,403,12600000,3700000,24700000,10000000,0
1758,0,Graduate,No,300000,700000,16,779,200000,0,1000000,400000,1
1759,4,Graduate,Yes,6900000,21400000,10,577,12500000,2200000,14900000,6300000,1
1760,1,Graduate,No,2900000,7600000,2,358,800000,700000,10100000,2100000,0
1761,4,Graduate,Yes,8800000,20900000,18,766,13500000,15400000,34500000,13100000,1
1762,0,Graduate,No,1400000,2700000,2,685,3400000,800000,5400000,1300000,1
1763,1,Graduate,No,7400000,19200000,20,415,2200000,4800000,29200000,7000000,0
1764,1,Not Graduate,Yes,9900000,30900000,20,559,12100000,6100000,38600000,12100000,1
1765,2,Graduate,Yes,8500000,31800000,6,714,17000000,900000,26600000,5600000,1
1766,0,Graduate,No,9700000,31600000,18,607,24300000,7900000,32400000,7500000,1
1767,2,Not Graduate,Yes,4800000,16500000,10,350,2000000,6500000,11400000,2900000,0
1768,4,Graduate,Yes,900000,2800000,2,660,1200000,1400000,2400000,900000,1
1769,3,Graduate,No,8300000,17200000,8,870,4700000,8800000,18300000,10000000,1
1770,5,Graduate,No,300000,900000,6,492,800000,300000,700000,400000,0
1771,2,Not Graduate,Yes,1900000,6800000,6,892,2600000,2200000,6400000,900000,1
1772,4,Not Graduate,Yes,6200000,18300000,4,900,16900000,3400000,15300000,6400000,1
1773,5,Graduate,No,7000000,23000000,18,803,18700000,6300000,27800000,4100000,1
1774,2,Graduate,Yes,2700000,8500000,20,368,4900000,4500000,5900000,2100000,0
1775,0,Graduate,Yes,1200000,2700000,2,638,1500000,500000,2700000,1500000,1
1776,0,Not Graduate,Yes,3900000,14100000,20,811,5700000,3600000,10500000,5300000,1
1777,3,Graduate,No,6100000,20700000,4,816,14900000,5400000,24200000,5900000,1
1778,2,Graduate,No,3100000,8700000,18,544,5300000,1100000,12200000,1500000,0
1779,5,Graduate,Yes,4400000,11700000,20,590,900000,2700000,15500000,2300000,1
1780,3,Not Graduate,No,4100000,12200000,2,457,700000,500000,14100000,4900000,0
1781,1,Not Graduate,No,9300000,28900000,6,526,11100000,1600000,19700000,11000000,0
1782,4,Graduate,No,3800000,8500000,10,416,6200000,4800000,14900000,4100000,0
1783,4,Graduate,No,9400000,29400000,12,562,25900000,15200000,36400000,7100000,1
1784,2,Not Graduate,Yes,2800000,10100000,16,531,2900000,2900000,7200000,4100000,0
1785,3,Graduate,No,7000000,19500000,14,719,12200000,10300000,18200000,10200000,1
1786,5,Not Graduate,Yes,7600000,25700000,4,607,12900000,13600000,29100000,4900000,1
1787,1,Graduate,Yes,2100000,4300000,20,896,100000,2300000,7500000,2300000,1
1788,2,Not Graduate,No,2200000,8700000,18,729,3900000,3300000,7600000,1300000,1
1789,4,Graduate,Yes,4100000,11600000,14,854,500000,6900000,12700000,5700000,1
1790,3,Not Graduate,No,2700000,10800000,6,480,4400000,0,10300000,3500000,0
1791,1,Graduate,Yes,1000000,3200000,4,888,2000000,1500000,2200000,1300000,1
1792,3,Graduate,Yes,600000,1700000,4,576,400000,100000,2100000,500000,1
1793,4,Graduate,Yes,2200000,5100000,6,308,3200000,2600000,6600000,3100000,0
1794,0,Graduate,Yes,9400000,19200000,20,708,21200000,16300000,23400000,13200000,1
1795,5,Not Graduate,No,900000,2200000,2,415,600000,1700000,2900000,700000,0
1796,3,Not Graduate,Yes,9400000,30900000,20,873,22800000,17700000,19300000,9000000,1
1797,5,Not Graduate,No,4600000,16200000,12,891,5900000,1200000,10800000,3700000,1
1798,0,Not Graduate,No,1000000,2200000,12,302,2200000,400000,3700000,1400000,0
1799,0,Graduate,No,6500000,14500000,12,755,9000000,11900000,20800000,3400000,1
1800,1,Not Graduate,Yes,5300000,18500000,6,501,6700000,8600000,16600000,4300000,0
1801,3,Not Graduate,No,1200000,2400000,12,480,3000000,100000,3100000,1700000,0
1802,1,Not Graduate,Yes,1900000,4500000,12,742,1200000,2000000,4400000,1200000,1
1803,0,Graduate,No,3000000,7000000,10,781,7200000,600000,11700000,2700000,1
1804,5,Graduate,Yes,1000000,2500000,14,885,2200000,100000,2300000,1100000,1
1805,1,Graduate,Yes,7600000,30000000,16,884,13300000,3600000,17200000,10800000,1
1806,1,Graduate,Yes,1700000,6000000,16,754,3900000,1500000,6400000,1800000,1
1807,2,Not Graduate,No,7800000,17100000,14,351,19000000,7200000,19300000,7100000,0
1808,0,Not Graduate,No,2000000,4800000,20,337,1300000,2200000,5500000,1700000,0
1809,0,Not Graduate,No,9500000,24800000,2,564,17400000,16000000,19600000,12000000,1
1810,4,Graduate,No,9300000,24900000,14,455,27600000,4700000,35100000,13900000,0
1811,5,Graduate,No,4200000,9200000,12,870,3200000,2400000,12300000,5700000,1
1812,2,Graduate,No,200000,700000,8,851,400000,200000,800000,200000,1
1813,0,Not Graduate,No,6200000,17300000,8,583,3700000,3900000,13600000,3300000,1
1814,3,Graduate,No,9800000,30300000,2,612,10700000,4600000,32100000,5600000,1
1815,5,Graduate,Yes,6400000,20000000,12,594,100000,2100000,16500000,5500000,1
1816,1,Graduate,Yes,5200000,19500000,12,778,5200000,4300000,19900000,5800000,1
1817,2,Graduate,Yes,8600000,28800000,8,890,23300000,5900000,21200000,7200000,1
1818,4,Graduate,Yes,2100000,8200000,20,432,6000000,900000,5600000,1000000,0
1819,1,Graduate,Yes,6600000,20700000,4,594,4800000,200000,26400000,8900000,1
1820,3,Graduate,No,200000,600000,16,821,400000,100000,500000,100000,1
1821,2,Graduate,Yes,5300000,11000000,14,393,6800000,2400000,20500000,5200000,0
1822,1,Not Graduate,Yes,1000000,3200000,2,710,100000,200000,3300000,900000,1
1823,4,Graduate,No,9900000,26100000,2,481,14500000,5000000,23600000,9300000,0
1824,0,Not Graduate,Yes,9400000,27000000,10,536,4400000,1700000,33800000,4800000,0
1825,5,Graduate,No,2500000,6400000,16,590,3200000,3900000,5800000,3500000,1
1826,5,Graduate,Yes,1300000,4300000,2,595,1300000,500000,2900000,1500000,1
1827,4,Graduate,Yes,5300000,10700000,12,547,1000000,10200000,11600000,5700000,0
1828,2,Not Graduate,Yes,5000000,17600000,20,465,6200000,5200000,16500000,5200000,0
1829,1,Not Graduate,Yes,2400000,6200000,12,337,3400000,2100000,9400000,2300000,0
1830,2,Not Graduate,Yes,7400000,14900000,20,627,15900000,10100000,19000000,10300000,1
1831,3,Graduate,Yes,7700000,23100000,8,807,2900000,9800000,20400000,7000000,1
1832,3,Not Graduate,Yes,2000000,6900000,6,834,2200000,2800000,6400000,3000000,1
1833,3,Graduate,Yes,1000000,2600000,6,341,2900000,1700000,3600000,1100000,0
1834,0,Graduate,No,5700000,17200000,8,386,4200000,7100000,14400000,2900000,0
1835,0,Not Graduate,No,5300000,20000000,6,881,15900000,3700000,19500000,4000000,1
1836,4,Graduate,No,3300000,10800000,4,552,4200000,900000,8600000,3300000,1
1837,2,Graduate,Yes,7000000,19000000,6,523,5300000,9300000,25800000,9500000,0
1838,3,Graduate,Yes,8000000,31200000,20,392,7300000,8400000,16000000,6000000,0
1839,1,Not Graduate,Yes,7600000,26000000,6,384,2600000,1200000,20000000,7900000,0
1840,3,Graduate,No,9100000,19900000,2,711,2200000,17900000,24300000,13000000,1
1841,0,Not Graduate,No,500000,1900000,2,857,1100000,500000,1800000,300000,1
1842,3,Not Graduate,No,5000000,13000000,10,459,2900000,3400000,18200000,7200000,0
1843,0,Not Graduate,No,7000000,25300000,14,697,15100000,10400000,14300000,6700000,1
1844,1,Not Graduate,No,9000000,28200000,16,327,1700000,2300000,24000000,11200000,0
1845,0,Graduate,No,7600000,30100000,2,743,20700000,8700000,27600000,9600000,1
1846,1,Not Graduate,No,8400000,32500000,14,698,20600000,5900000,17300000,12200000,1
1847,2,Graduate,Yes,1400000,4600000,4,804,1900000,2200000,5200000,700000,1
1848,3,Graduate,Yes,5300000,20300000,14,432,15000000,0,17200000,5900000,0
1849,4,Graduate,No,5700000,14800000,16,697,14300000,7800000,12900000,6300000,1
1850,2,Graduate,No,2900000,10500000,20,708,4200000,600000,7700000,4300000,1
1851,1,Not Graduate,No,8300000,29200000,6,877,13700000,9900000,31500000,9500000,1
1852,4,Graduate,No,9400000,32200000,6,898,27600000,11800000,19500000,8600000,1
1853,3,Not Graduate,Yes,9900000,36500000,16,562,17300000,18500000,22300000,9800000,1
1854,4,Graduate,Yes,3200000,11500000,20,864,8700000,5000000,12100000,4100000,1
1855,5,Graduate,No,8600000,21000000,8,465,11700000,14900000,19500000,9900000,0
1856,2,Not Graduate,No,2300000,5000000,16,588,2000000,3500000,7000000,1500000,1
