PatentFamily,PatentNumber,CitedPatents
WO2019122291-A1;AU2018386536-A1;CA3086725-A1;KR2020104880-A;CN111670245-A;SG11202005063-A1;EP3728561-A1;US2020385661-A1;JP2021508442-W;EP3728561-B1;ES2921049-T3;EP4092108-A1;JP7256553-B2;IL275527-A;HK40077710-A0;KR2621919-B1,CA3086725-A1,
WO2019122291-A1;AU2018386536-A1;CA3086725-A1;KR2020104880-A;CN111670245-A;SG11202005063-A1;EP3728561-A1;US2020385661-A1;JP2021508442-W;EP3728561-B1;ES2921049-T3;EP4092108-A1;JP7256553-B2;IL275527-A;HK40077710-A0;KR2621919-B1,KR2020104880-A,
WO2019122291-A1;AU2018386536-A1;CA3086725-A1;KR2020104880-A;CN111670245-A;SG11202005063-A1;EP3728561-A1;US2020385661-A1;JP2021508442-W;EP3728561-B1;ES2921049-T3;EP4092108-A1;JP7256553-B2;IL275527-A;HK40077710-A0;KR2621919-B1,CN111670245-A,WO2014052835-A1;WO2017136462-A2
WO2019122291-A1;AU2018386536-A1;CA3086725-A1;KR2020104880-A;CN111670245-A;SG11202005063-A1;EP3728561-A1;US2020385661-A1;JP2021508442-W;EP3728561-B1;ES2921049-T3;EP4092108-A1;JP7256553-B2;IL275527-A;HK40077710-A0;KR2621919-B1,SG11202005063-A1,
WO2019122291-A1;AU2018386536-A1;CA3086725-A1;KR2020104880-A;CN111670245-A;SG11202005063-A1;EP3728561-A1;US2020385661-A1;JP2021508442-W;EP3728561-B1;ES2921049-T3;EP4092108-A1;JP7256553-B2;IL275527-A;HK40077710-A0;KR2621919-B1,EP3728561-A1,
WO2019122291-A1;AU2018386536-A1;CA3086725-A1;KR2020104880-A;CN111670245-A;SG11202005063-A1;EP3728561-A1;US2020385661-A1;JP2021508442-W;EP3728561-B1;ES2921049-T3;EP4092108-A1;JP7256553-B2;IL275527-A;HK40077710-A0;KR2621919-B1,US2020385661-A1,WO2013086329-A1;WO2017136462-A2
WO2019122291-A1;AU2018386536-A1;CA3086725-A1;KR2020104880-A;CN111670245-A;SG11202005063-A1;EP3728561-A1;US2020385661-A1;JP2021508442-W;EP3728561-B1;ES2921049-T3;EP4092108-A1;JP7256553-B2;IL275527-A;HK40077710-A0;KR2621919-B1,JP2021508442-W,
WO2019122291-A1;AU2018386536-A1;CA3086725-A1;KR2020104880-A;CN111670245-A;SG11202005063-A1;EP3728561-A1;US2020385661-A1;JP2021508442-W;EP3728561-B1;ES2921049-T3;EP4092108-A1;JP7256553-B2;IL275527-A;HK40077710-A0;KR2621919-B1,EP3728561-B1,
WO2019122291-A1;AU2018386536-A1;CA3086725-A1;KR2020104880-A;CN111670245-A;SG11202005063-A1;EP3728561-A1;US2020385661-A1;JP2021508442-W;EP3728561-B1;ES2921049-T3;EP4092108-A1;JP7256553-B2;IL275527-A;HK40077710-A0;KR2621919-B1,ES2921049-T3,
WO2019122291-A1;AU2018386536-A1;CA3086725-A1;KR2020104880-A;CN111670245-A;SG11202005063-A1;EP3728561-A1;US2020385661-A1;JP2021508442-W;EP3728561-B1;ES2921049-T3;EP4092108-A1;JP7256553-B2;IL275527-A;HK40077710-A0;KR2621919-B1,EP4092108-A1,WO2014052835-A1;WO2018052953-A1;WO2017136462-A2
WO2019122291-A1;AU2018386536-A1;CA3086725-A1;KR2020104880-A;CN111670245-A;SG11202005063-A1;EP3728561-A1;US2020385661-A1;JP2021508442-W;EP3728561-B1;ES2921049-T3;EP4092108-A1;JP7256553-B2;IL275527-A;HK40077710-A0;KR2621919-B1,JP7256553-B2,
WO2019122291-A1;AU2018386536-A1;CA3086725-A1;KR2020104880-A;CN111670245-A;SG11202005063-A1;EP3728561-A1;US2020385661-A1;JP2021508442-W;EP3728561-B1;ES2921049-T3;EP4092108-A1;JP7256553-B2;IL275527-A;HK40077710-A0;KR2621919-B1,IL275527-A,
WO2019122291-A1;AU2018386536-A1;CA3086725-A1;KR2020104880-A;CN111670245-A;SG11202005063-A1;EP3728561-A1;US2020385661-A1;JP2021508442-W;EP3728561-B1;ES2921049-T3;EP4092108-A1;JP7256553-B2;IL275527-A;HK40077710-A0;KR2621919-B1,HK40077710-A0,
WO2019122291-A1;AU2018386536-A1;CA3086725-A1;KR2020104880-A;CN111670245-A;SG11202005063-A1;EP3728561-A1;US2020385661-A1;JP2021508442-W;EP3728561-B1;ES2921049-T3;EP4092108-A1;JP7256553-B2;IL275527-A;HK40077710-A0;KR2621919-B1,KR2621919-B1,
WO2023028375-A1,WO2023028375-A1,
US2021108180-A1,US2021108180-A1,
WO2023104915-A1,WO2023104915-A1,
US2021324312-A1,US2021324312-A1,
KR2024003314-A,KR2024003314-A,
WO2024006796-A2,WO2024006796-A2,
WO2024006245-A1,WO2024006245-A1,
WO2023248527-A1;JP2024000178-A,WO2023248527-A1,
WO2023248527-A1;JP2024000178-A,JP2024000178-A,
WO2023246806-A1,WO2023246806-A1,
WO2023246838-A1,WO2023246838-A1,
WO2023248620-A1,WO2023248620-A1,
WO2023247007-A1,WO2023247007-A1,
WO2023247532-A1,WO2023247532-A1,
US2023416687-A1;KR2024002172-A,US2023416687-A1,
US2023416687-A1;KR2024002172-A,KR2024002172-A,
JP2023182825-A,JP2023182825-A,
CN117257952-A,CN117257952-A,
WO2023244669-A1,WO2023244669-A1,
WO2023242604-A1,WO2023242604-A1,
WO2023242130-A1,WO2023242130-A1,
US2023405066-A1,US2023405066-A1,
WO2023242426-A1,WO2023242426-A1,
WO2023241720-A1,WO2023241720-A1,
EP4293057-A1;WO2023242246-A1,EP4293057-A1,
EP4293057-A1;WO2023242246-A1,WO2023242246-A1,WO2021198139-A1;WO2021234414-A1;US10392474-B2
CN117224676-A,CN117224676-A,
KR2023168914-A,KR2023168914-A,
WO2023239483-A1,WO2023239483-A1,
WO2023240053-A2,WO2023240053-A2,
WO2023238939-A1,WO2023238939-A1,
EP4289929-A1;WO2023237436-A1,EP4289929-A1,
EP4289929-A1;WO2023237436-A1,WO2023237436-A1,US20210301247-A1;US20220169965-A1;WO2009146911-A2
WO2023235758-A1,WO2023235758-A1,
WO2023235828-A1,WO2023235828-A1,
WO2023235884-A1,WO2023235884-A1,
WO2023235551-A1,WO2023235551-A1,
WO2023235850-A1,WO2023235850-A1,
WO2023235568-A1,WO2023235568-A1,
US2023392145-A1;WO2023239609-A1,US2023392145-A1,
US2023392145-A1;WO2023239609-A1,WO2023239609-A1,
CN117143728-A,CN117143728-A,
KR2609283-B1,KR2609283-B1,
CN117143800-A,CN117143800-A,
CN117143802-A,CN117143802-A,
WO2023229286-A1;KR2023163924-A;KR2611044-B1,WO2023229286-A1,
WO2023229286-A1;KR2023163924-A;KR2611044-B1,KR2023163924-A,
WO2023229286-A1;KR2023163924-A;KR2611044-B1,KR2611044-B1,
WO2023230508-A2,WO2023230508-A2,
US2023381373-A1,US2023381373-A1,
WO2023226884-A1,WO2023226884-A1,
US2023383264-A1,US2023383264-A1,
WO2023230297-A1,WO2023230297-A1,
WO2023228908-A1,WO2023228908-A1,
CN117122618-A,CN117122618-A,
CN117106587-A,CN117106587-A,
CN117106699-A,CN117106699-A,
US2023374449-A1,US2023374449-A1,
WO2023224431-A1;KR2023162885-A,WO2023224431-A1,
WO2023224431-A1;KR2023162885-A,KR2023162885-A,
US2023374446-A1,US2023374446-A1,
CN117089521-A,CN117089521-A,
CN117085051-A,CN117085051-A,
CN117070440-A,CN117070440-A,
KR2023157657-A,KR2023157657-A,
CN117070360-A,CN117070360-A,
CN117070461-A,CN117070461-A,
WO2023217767-A2,WO2023217767-A2,
WO2023219434-A1;KR2023159813-A,WO2023219434-A1,
WO2023219434-A1;KR2023159813-A,KR2023159813-A,
WO2023218024-A1,WO2023218024-A1,
US2023364528-A1,US2023364528-A1,
WO2023220453-A2,WO2023220453-A2,
WO2023219499-A1;NL2031813-B1,WO2023219499-A1,
WO2023219499-A1;NL2031813-B1,NL2031813-B1,
CN117050877-A,CN117050877-A,
CN117051072-A,CN117051072-A,
CN117050934-A,CN117050934-A,
CN117018010-A,CN117018010-A,
CN117025537-A,CN117025537-A,
CN117036322-A,CN117036322-A,
CN117025529-A,CN117025529-A,
CN117025509-A,CN117025509-A,
CN117025513-A,CN117025513-A,
CN117025393-A,CN117025393-A,
CN117025532-A,CN117025532-A,
CN117025511-A,CN117025511-A,
CN117024569-A,CN117024569-A,
WO2023215881-A2;WO2023215881-A3,WO2023215881-A2,
WO2023215881-A2;WO2023215881-A3,WO2023215881-A3,
US2023358729-A1,US2023358729-A1,
WO2023215785-A1,WO2023215785-A1,
WO2023215423-A2;WO2023215423-A3,WO2023215423-A2,
WO2023215423-A2;WO2023215423-A3,WO2023215423-A3,
WO2023215428-A1,WO2023215428-A1,
EP4272764-A1;WO2023214353-A1,EP4272764-A1,
EP4272764-A1;WO2023214353-A1,WO2023214353-A1,
CN117004572-A,CN117004572-A,
CN116998475-A,CN116998475-A,
CN117004568-A,CN117004568-A,
CN116987669-A,CN116987669-A,
CN116987662-A,CN116987662-A,
CN116987670-A,CN116987670-A,
CN116983300-A,CN116983300-A,
WO2023212695-A2;WO2023212695-A3,WO2023212695-A2,
WO2023212695-A2;WO2023212695-A3,WO2023212695-A3,
KR2023151722-A,KR2023151722-A,
WO2023212046-A2;WO2023212046-A3,WO2023212046-A2,
WO2023212046-A2;WO2023212046-A3,WO2023212046-A3,
CN116973579-A,CN116973579-A,
CN116973188-A,CN116973188-A,
CN116948971-A,CN116948971-A,
CN116948954-A,CN116948954-A,
CN116948972-A,CN116948972-A,
CN116946994-A,CN116946994-A,
CN116948973-A,CN116948973-A,
CN116948974-A,CN116948974-A,
CN116948015-A,CN116948015-A,
WO2023205460-A1,WO2023205460-A1,
WO2023204640-A1;KR2023151483-A;KR2023150745-A,WO2023204640-A1,
WO2023204640-A1;KR2023151483-A;KR2023150745-A,KR2023151483-A,
WO2023204640-A1;KR2023151483-A;KR2023150745-A,KR2023150745-A,
CN116925969-A,CN116925969-A,
CN116925918-A,CN116925918-A,
CN116920263-A,CN116920263-A,
WO2023201047-A1,WO2023201047-A1,
WO2023199358-A1;IN202221022380-A,WO2023199358-A1,
WO2023199358-A1;IN202221022380-A,IN202221022380-A,
WO2023201046-A1,WO2023201046-A1,
US2023334683-A1,US2023334683-A1,
KR2023146377-A,KR2023146377-A,
WO2023199036-A1,WO2023199036-A1,
WO2023200843-A1,WO2023200843-A1,
RU2022110075-A,RU2022110075-A,
CN116875528-A,CN116875528-A,
CN116870005-A,CN116870005-A,
CN116878994-A,CN116878994-A,
CN116875637-A,CN116875637-A,
CN116875537-A,CN116875537-A,
CN116875461-A,CN116875461-A,
CN116875553-A,CN116875553-A,
WO2023195805-A2,WO2023195805-A2,
WO2023194370-A1;LU501820-B1,WO2023194370-A1,
WO2023194370-A1;LU501820-B1,LU501820-B1,
WO2023193080-A2,WO2023193080-A2,
WO2023196683-A1,WO2023196683-A1,
WO2023196349-A1,WO2023196349-A1,
WO2023194358-A1,WO2023194358-A1,
CN116855351-A,CN116855351-A,
CN116855440-A,CN116855440-A,
CN116855379-A,CN116855379-A,
CN116855441-A,CN116855441-A,
WO2023192663-A1,WO2023192663-A1,
WO2023191494-A1;KR2023140068-A,WO2023191494-A1,
WO2023191494-A1;KR2023140068-A,KR2023140068-A,
WO2023187217-A1,WO2023187217-A1,
WO2023188117-A1,WO2023188117-A1,
KR2023138786-A,KR2023138786-A,
WO2023192629-A1,WO2023192629-A1,
WO2023187771-A1,WO2023187771-A1,
US2023313146-A1,US2023313146-A1,
WO2023192934-A2;WO2023192934-A3,WO2023192934-A2,
WO2023192934-A2;WO2023192934-A3,WO2023192934-A3,
EP4252789-A1;WO2023186794-A1,EP4252789-A1,
EP4252789-A1;WO2023186794-A1,WO2023186794-A1,EP3913048-A1
CN116836916-A;CN116836916-B,CN116836916-A,
CN116836916-A;CN116836916-B,CN116836916-B,
CN116825206-A;CN116825206-B,CN116825206-A,
CN116825206-A;CN116825206-B,CN116825206-B,CN114480600-A;CN114864003-A;CN115232875-A;CN115798723-A;CN116004828-A;CN116246713-A;CN116259360-A;CN116474100-A;CN116612822-A;US20230160009-A1
CN116814548-A,CN116814548-A,
CN116808058-A,CN116808058-A,
CN116814427-A,CN116814427-A,
CN116814423-A,CN116814423-A,
CN116814551-A;CN116814551-B,CN116814551-A,
CN116814551-A;CN116814551-B,CN116814551-B,CN110317790-A;CN112266898-A;CN113025575-A;CN114292816-A;CN114317443-A;CN114317444-A;CN114891749-A;CN115094027-A;US20230257717-A1;WO2021260195-A1
WO2023183881-A2;WO2023183881-A3,WO2023183881-A2,
WO2023183881-A2;WO2023183881-A3,WO2023183881-A3,
WO2023180578-A1,WO2023180578-A1,
KR2583925-B1;WO2023244053-A1,KR2583925-B1,
KR2583925-B1;WO2023244053-A1,WO2023244053-A1,
CN116790482-A,CN116790482-A,
CN116790501-A,CN116790501-A,
CN116789843-A,CN116789843-A,
WO2023178320-A1,WO2023178320-A1,
WO2023175509-A1,WO2023175509-A1,
KR2582110-B1,KR2582110-B1,
WO2023173370-A1;CN116769695-A,WO2023173370-A1,
WO2023173370-A1;CN116769695-A,CN116769695-A,
US2023296874-A1;CN116774378-A,US2023296874-A1,
US2023296874-A1;CN116774378-A,CN116774378-A,
WO2023174506-A1,WO2023174506-A1,
CN116769715-A,CN116769715-A,
CN116778480-A,CN116778480-A,
CN116769714-A,CN116769714-A,
CN116769699-A,CN116769699-A,
CN116751734-A,CN116751734-A,
CN116751749-A;CN116751749-B,CN116751749-A,
CN116751749-A;CN116751749-B,CN116751749-B,CN110129270-A;CN111172111-A;CN113481162-A;CN114181886-A;CN115466727-A;CN116286655-A;US20230029554-A1
CN116751736-A,CN116751736-A,
WO2023172769-A2;WO2023172769-A3,WO2023172769-A2,
WO2023172769-A2;WO2023172769-A3,WO2023172769-A3,
WO2023172087-A1;KR2023133788-A,WO2023172087-A1,
WO2023172087-A1;KR2023133788-A,KR2023133788-A,
WO2023170065-A1;TW202337469-A,WO2023170065-A1,
WO2023170065-A1;TW202337469-A,TW202337469-A,
WO2023171702-A1,WO2023171702-A1,
CN116731954-A,CN116731954-A,
KR2023130498-A,KR2023130498-A,
KR2023130499-A,KR2023130499-A,
CN116731968-A,CN116731968-A,
CN116731955-A,CN116731955-A,
KR2577816-B1;WO2023239048-A1,KR2577816-B1,
KR2577816-B1;WO2023239048-A1,WO2023239048-A1,
CN116731859-A,CN116731859-A,
CN116716249-A,CN116716249-A,
CN116716236-A,CN116716236-A,
CN116716234-A,CN116716234-A,
WO2023167575-A1;KR2023131816-A,WO2023167575-A1,
WO2023167575-A1;KR2023131816-A,KR2023131816-A,
US2023279348-A1,US2023279348-A1,
US2023277729-A1,US2023277729-A1,
WO2023167563-A1;KR2023131450-A,WO2023167563-A1,
WO2023167563-A1;KR2023131450-A,KR2023131450-A,
DE102022000616-A1,DE102022000616-A1,
EP4239061-A1;WO2023166111-A1,EP4239061-A1,
EP4239061-A1;WO2023166111-A1,WO2023166111-A1,WO2016103269-A1;WO2021216846-A9;US4946778-A;US6080560-A;WO2008022759-A2
KR2574067-B1,KR2574067-B1,
CN116694570-A,CN116694570-A,
CN116687963-A,CN116687963-A,
CN116694561-A,CN116694561-A,
KR2573288-B1,KR2573288-B1,
KR2573391-B1,KR2573391-B1,
WO2023164242-A1,WO2023164242-A1,
WO2023161375-A1,WO2023161375-A1,
WO2023160671-A1;CN116694551-A,WO2023160671-A1,
WO2023160671-A1;CN116694551-A,CN116694551-A,
WO2023163983-A1,WO2023163983-A1,
WO2023161276-A1,WO2023161276-A1,
WO2023164605-A2;WO2023164605-A3,WO2023164605-A2,
WO2023164605-A2;WO2023164605-A3,WO2023164605-A3,
JP2023121191-A,JP2023121191-A,
US2023272320-A1,US2023272320-A1,
WO2023160492-A1;CN116676251-A,WO2023160492-A1,
WO2023160492-A1;CN116676251-A,CN116676251-A,
US2023272489-A1,US2023272489-A1,
WO2023162950-A1,WO2023162950-A1,
WO2023160777-A1,WO2023160777-A1,
CN116656611-A,CN116656611-A,
CN116656610-A,CN116656610-A,
US11739370-B1,US11739370-B1,
CN116656613-A,CN116656613-A,
CN116656600-A,CN116656600-A,
CN116640661-A,CN116640661-A,
CN116640733-A,CN116640733-A,
WO2023158627-A2;WO2023158627-A3,WO2023158627-A2,
WO2023158627-A2;WO2023158627-A3,WO2023158627-A3,
WO2023158839-A1,WO2023158839-A1,
WO2023156799-A1,WO2023156799-A1,
KR2023123704-A,KR2023123704-A,
WO2023156774-A1,WO2023156774-A1,
WO2023158114-A1;KR2023126264-A,WO2023158114-A1,
WO2023158114-A1;KR2023126264-A,KR2023126264-A,
WO2023158867-A1,WO2023158867-A1,
WO2023159044-A2;WO2023159044-A3,WO2023159044-A2,
WO2023159044-A2;WO2023159044-A3,WO2023159044-A3,
US2023265393-A1,US2023265393-A1,
WO2023159218-A2;WO2023159218-A3,WO2023159218-A2,
WO2023159218-A2;WO2023159218-A3,WO2023159218-A3,
EP4230233-A1;WO2023161769-A1,EP4230233-A1,
EP4230233-A1;WO2023161769-A1,WO2023161769-A1,US20130085079-A1;US20140274802-A1;US9688962-B2;WO2006097707-A2;WO2021100047-A1
EP4231016-A1;WO2023156638-A1,EP4231016-A1,
EP4231016-A1;WO2023156638-A1,WO2023156638-A1,WO2006118615-A2
CN116622503-A,CN116622503-A,
CN116622618-A,CN116622618-A,
CN116622616-A,CN116622616-A,
CN116622626-A,CN116622626-A,
CN116622635-A,CN116622635-A,
WO2023153614-A1;KR2023121232-A,WO2023153614-A1,
WO2023153614-A1;KR2023121232-A,KR2023121232-A,
WO2023151683-A1,WO2023151683-A1,
WO2023153737-A1;KR2023121683-A,WO2023153737-A1,
WO2023153737-A1;KR2023121683-A,KR2023121683-A,
WO2023154452-A1,WO2023154452-A1,
KR2023120112-A,KR2023120112-A,
CN116590235-A;CN116590235-B,CN116590235-A,
CN116590235-A;CN116590235-B,CN116590235-B,CN110317790-A;CN110408595-A;CN111876383-A;CN112266898-A;CN113755426-A;CN114181903-A;CN114292804-A;CN114480289-A;CN114958753-A;CN115449504-A;US20050106725-A1;US20210355450-A1;WO2023060764-A1
CN116590216-A,CN116590216-A,
CN116590377-A,CN116590377-A,
CN116590220-A,CN116590220-A,
CN116589560-A;CN116589560-B,CN116589560-A,
CN116589560-A;CN116589560-B,CN116589560-B,
CN116590149-A,CN116590149-A,
JP2023112417-A,JP2023112417-A,
CN116569916-A;CN116569916-B,CN116569916-A,
CN116569916-A;CN116569916-B,CN116569916-B,
US2023251245-A1,US2023251245-A1,
US2023250379-A1,US2023250379-A1,
KR2565767-B1,KR2565767-B1,
WO2023150319-A1,WO2023150319-A1,
WO2023150555-A1,WO2023150555-A1,
WO2023149407-A1,WO2023149407-A1,
WO2023149860-A1,WO2023149860-A1,
CN116555031-A;CN219951074-U,CN116555031-A,
CN116555031-A;CN219951074-U,CN219951074-U,
CN116555182-A,CN116555182-A,
CN116555165-A,CN116555165-A,
JP2023109518-A,JP2023109518-A,
CN116555166-A,CN116555166-A,
CN116536266-A,CN116536266-A,
CN116536264-A,CN116536264-A,
CN116539862-A,CN116539862-A,
CN116536265-A,CN116536265-A,
CN116530501-A,CN116530501-A,
CN116535728-A,CN116535728-A,
CN116530503-A,CN116530503-A,
WO2023144275-A1,WO2023144275-A1,
WO2023146058-A1;KR2023115208-A,WO2023146058-A1,
WO2023146058-A1;KR2023115208-A,KR2023115208-A,
WO2023146292-A1;KR2023116568-A;KR2593230-B1,WO2023146292-A1,
WO2023146292-A1;KR2023116568-A;KR2593230-B1,KR2023116568-A,
WO2023146292-A1;KR2023116568-A;KR2593230-B1,KR2593230-B1,
US2023241146-A1,US2023241146-A1,
WO2023143637-A1;CN116536259-A,WO2023143637-A1,
WO2023143637-A1;CN116536259-A,CN116536259-A,
WO2023146175-A1;KR2023116472-A,WO2023146175-A1,
WO2023146175-A1;KR2023116472-A,KR2023116472-A,
CN116515754-A,CN116515754-A,
CN116515755-A,CN116515755-A,
CN116515938-A,CN116515938-A,
CN116496980-A,CN116496980-A,
CN116491501-A,CN116491501-A,
CN116496979-A,CN116496979-A,
CN116496899-A,CN116496899-A,
CN116496989-A,CN116496989-A,
WO2023140719-A1;KR2023114228-A,WO2023140719-A1,
WO2023140719-A1;KR2023114228-A,KR2023114228-A,
WO2023140543-A1;KR2023114116-A,WO2023140543-A1,
WO2023140543-A1;KR2023114116-A,KR2023114116-A,
US2023235284-A1,US2023235284-A1,
EP4215179-A1;WO2023139215-A1,EP4215179-A1,
EP4215179-A1;WO2023139215-A1,WO2023139215-A1,WO2015002888-A1;WO2018041784-A1
KR2023111879-A,KR2023111879-A,
CN219409758-U;CN116790377-A,CN219409758-U,
CN219409758-U;CN116790377-A,CN116790377-A,
CN116478912-A,CN116478912-A,
CN116463280-A,CN116463280-A,
CN116458495-A,CN116458495-A,
CN116458473-A,CN116458473-A,
CN116463291-A,CN116463291-A,
WO2023135472-A1,WO2023135472-A1,
WO2023136651-A1;KR2023109577-A,WO2023136651-A1,
WO2023136651-A1;KR2023109577-A,KR2023109577-A,
WO2023137107-A1,WO2023137107-A1,
WO2023136308-A1,WO2023136308-A1,
WO2023136504-A1;KR2023108960-A,WO2023136504-A1,
WO2023136504-A1;KR2023108960-A,KR2023108960-A,
WO2023137200-A2;WO2023137200-A3,WO2023137200-A2,
WO2023137200-A2;WO2023137200-A3,WO2023137200-A3,
WO2023137467-A2;WO2023137467-A3,WO2023137467-A2,
WO2023137467-A2;WO2023137467-A3,WO2023137467-A3,
WO2023137432-A2;WO2023137432-A3,WO2023137432-A2,
WO2023137432-A2;WO2023137432-A3,WO2023137432-A3,
CN116445574-A,CN116445574-A,
CN116445544-A,CN116445544-A,
CN116445397-A,CN116445397-A,
CN116420677-A,CN116420677-A,
CN116426459-A,CN116426459-A,
CN116426479-A,CN116426479-A,
CN116426379-A,CN116426379-A,
CN116426460-A,CN116426460-A,
WO2023133327-A2;WO2023133327-A3,WO2023133327-A2,
WO2023133327-A2;WO2023133327-A3,WO2023133327-A3,
WO2023132730-A1;KR2023108226-A,WO2023132730-A1,
WO2023132730-A1;KR2023108226-A,KR2023108226-A,
WO2023133441-A2;WO2023133441-A3,WO2023133441-A2,
WO2023133441-A2;WO2023133441-A3,WO2023133441-A3,
US2023220353-A1,US2023220353-A1,
KR2023106074-A,KR2023106074-A,
CN116410918-A;CN116410918-B,CN116410918-A,
CN116410918-A;CN116410918-B,CN116410918-B,CN112852713-A;CN113621563-A;CN115975918-A;CN116196333-A;KR2020038672-A;KR2461314-B1;US20180147420-A1;WO2020180311-A1;WO2022119417-A1
CN116410929-A,CN116410929-A,
CN116410330-A,CN116410330-A,
JP2023097775-A,JP2023097775-A,
CN116396922-A,CN116396922-A,
CN116396939-A,CN116396939-A,
CN116392437-A;US2023293872-A1,CN116392437-A,
CN116392437-A;US2023293872-A1,US2023293872-A1,
WO2023129429-A2;WO2023129429-A3,WO2023129429-A2,
WO2023129429-A2;WO2023129429-A3,WO2023129429-A3,
WO2023130055-A2;US2023295347-A1;WO2023130055-A3,WO2023130055-A2,
WO2023130055-A2;US2023295347-A1;WO2023130055-A3,US2023295347-A1,
WO2023130055-A2;US2023295347-A1;WO2023130055-A3,WO2023130055-A3,
KR2553210-B1;WO2023204441-A1,KR2553210-B1,
KR2553210-B1;WO2023204441-A1,WO2023204441-A1,
WO2023126338-A1,WO2023126338-A1,
WO2023125744-A1,WO2023125744-A1,
US2023210906-A1,US2023210906-A1,
CN116376696-A,CN116376696-A,
CN116376840-A,CN116376840-A,
CN116380831-A,CN116380831-A,
CN116376809-A,CN116376809-A,
CN116376808-A,CN116376808-A,
CN116377013-A,CN116377013-A,
CN116374377-A,CN116374377-A,
CN116376834-A,CN116376834-A,
CN116355850-A,CN116355850-A,
CN116355836-A,CN116355836-A,
KR2023096172-A,KR2023096172-A,
CN116355849-A;KR2023100812-A,CN116355849-A,
CN116355849-A;KR2023100812-A,KR2023100812-A,
CN116355962-A,CN116355962-A,
WO2023121449-A1,WO2023121449-A1,
US2023201420-A1,US2023201420-A1,
WO2023117364-A1,WO2023117364-A1,
WO2023118360-A1,WO2023118360-A1,
CN116334136-A,CN116334136-A,
CN116333967-A,CN116333967-A,
KR2547900-B1;WO2023158016-A1;KR2023124505-A,KR2547900-B1,
KR2547900-B1;WO2023158016-A1;KR2023124505-A,WO2023158016-A1,
KR2547900-B1;WO2023158016-A1;KR2023124505-A,KR2023124505-A,
CN116270712-A,CN116270712-A,
CN116286353-A,CN116286353-A,
CN116286653-A,CN116286653-A,
CN116286654-A,CN116286654-A,
IN202331040848-A,IN202331040848-A,
CN116286655-A,CN116286655-A,
CN116286357-A,CN116286357-A,
CN116286648-A,CN116286648-A,
CN116286642-A,CN116286642-A,
CN116286608-A,CN116286608-A,
CN116286619-A,CN116286619-A,
CN116286651-A,CN116286651-A,
CN116271240-A,CN116271240-A,
CN116286597-A,CN116286597-A,
US2023190834-A1;WO2023122193-A2,US2023190834-A1,
US2023190834-A1;WO2023122193-A2,WO2023122193-A2,
WO2023108288-A1,WO2023108288-A1,
WO2023114461-A1,WO2023114461-A1,
DE102022134440-A1;WO2023116982-A1,DE102022134440-A1,
DE102022134440-A1;WO2023116982-A1,WO2023116982-A1,
KR2023090817-A,KR2023090817-A,
US2023192634-A1;EP4201404-A1,US2023192634-A1,
US2023192634-A1;EP4201404-A1,EP4201404-A1,
WO2023114543-A2;WO2023114543-A3,WO2023114543-A2,
WO2023114543-A2;WO2023114543-A3,WO2023114543-A3,
WO2023114782-A1,WO2023114782-A1,
WO2023114785-A2;WO2023114785-A3,WO2023114785-A2,
WO2023114785-A2;WO2023114785-A3,WO2023114785-A3,
WO2023110824-A1;TW202325721-A,WO2023110824-A1,
WO2023110824-A1;TW202325721-A,TW202325721-A,
EP4198121-A1;WO2023110941-A1,EP4198121-A1,
EP4198121-A1;WO2023110941-A1,WO2023110941-A1,WO2017060884-A1;WO2022008757-A1;US8058065-B2
KR2023089470-A;WO2023113203-A1;KR2571867-B1,KR2023089470-A,
KR2023089470-A;WO2023113203-A1;KR2571867-B1,WO2023113203-A1,
KR2023089470-A;WO2023113203-A1;KR2571867-B1,KR2571867-B1,
KR2023089159-A;WO2023113395-A1,KR2023089159-A,
KR2023089159-A;WO2023113395-A1,WO2023113395-A1,
WO2023104909-A1;DE102021132190-A1,WO2023104909-A1,
WO2023104909-A1;DE102021132190-A1,DE102021132190-A1,
WO2023108136-A2;WO2023108136-A3,WO2023108136-A2,
WO2023108136-A2;WO2023108136-A3,WO2023108136-A3,
WO2023102818-A1,WO2023102818-A1,
WO2023102610-A1,WO2023102610-A1,
WO2023107871-A2;WO2023107871-A3,WO2023107871-A2,
WO2023107871-A2;WO2023107871-A3,WO2023107871-A3,
DE102021214281-A1;WO2023110319-A1,DE102021214281-A1,
DE102021214281-A1;WO2023110319-A1,WO2023110319-A1,DE3720844-A;DE102008018170-A1;DE102016222072-A1;DE102016222075-A1;DE69634490-T2;EP3880796-A1;US20120273357-A1;US20130190212-A1;US20160272934-A1;WO2014179196-A1;WO2016183143-A1;WO2021224328-A1
EP4194546-A1;WO2023104946-A1,EP4194546-A1,
EP4194546-A1;WO2023104946-A1,WO2023104946-A1,
CN116254271-A,CN116254271-A,
CN116254180-A,CN116254180-A,
CN116236497-A,CN116236497-A,
CN116240166-A,CN116240166-A,
RU2797859-C1,RU2797859-C1,
WO2023099526-A1,WO2023099526-A1,
WO2023102454-A2;WO2023102454-A3,WO2023102454-A2,
WO2023102454-A2;WO2023102454-A3,WO2023102454-A3,
WO2023102120-A1,WO2023102120-A1,
WO2023101369-A1;KR2023083202-A,WO2023101369-A1,
WO2023101369-A1;KR2023083202-A,KR2023083202-A,
WO2023102212-A1,WO2023102212-A1,
